id,label,pm,nm,color
1,Unassigned,,,blue
2,up,CD123|CD11b,HLADR,blue
3,T cells,CD3,CD14|CD19,blue
4,B cells,CD19,CD14|CD3|CD56,blue
5,NK cells,CD56,CD14|CD123|CD3|CD19,blue
6,Dendritic cells,HLADR,CD14|CD3|CD19|CD16,blue
7,Monocytes,CD11c|HLADR,,blue
8,TCRgd- T cells,,gdTCR,blue
9,CD4+ T cells,CD4,CD8,blue
10,CD8+ T cells,CD8,CD4,blue
11,CXCR5+ B cells,CXCR5,,blue
12,CD16+ NK cells,CD16,,blue
13,CD16- NK cells,,CD16,blue
14,mDCs,CD11c,CD123,blue
15,pDCs,CD123,CD11c,blue
16,Classical,CD14,CD16,blue
17,Transitional,CD14|CD16,,blue
18,Nonclassical,CD16,CD14,blue
19,CD4+ TN,CD45RA|CCR7,,blue
20,CD4+ TCM,CCR7,CD45RA,blue
21,CD4+ TEM,,CD45RA|CCR7,blue
22,CD4+ TEMRA,CD45RA,CCR7,blue
